id,name,created_at,updated_at,rename,tag_type,name2
209,Singaporean,2014-11-17 22:06:54 +1100,2014-11-17 22:06:54 +1100,Singaporean,Cuisine,Singaporean
210,Nightlife,2014-11-17 22:14:30 +1100,2014-11-17 22:14:30 +1100,nightlife,Delete,
211,Irish Pubs,2014-11-17 22:17:18 +1100,2014-11-17 22:17:18 +1100,Irish pub,Venue_type_0,Irish pub
212,Theatres,2014-11-17 22:20:34 +1100,2014-11-17 22:20:34 +1100,a theatre,Feature_1,a theatre
213,Bikes,2014-11-17 22:25:16 +1100,2014-11-17 22:25:16 +1100,bikes,Delete,
214,Flowers & Gifts,2014-11-17 22:35:11 +1100,2014-11-17 22:35:11 +1100,a flower & gift shop,Delete,
215,Newsagents,2014-11-17 22:35:11 +1100,2014-11-17 22:35:11 +1100,newsagents,Delete,
216,Casinos,2014-11-17 23:51:26 +1100,2014-11-17 23:51:26 +1100,casinos,Delete,
217,Food Trucks,2014-11-17 23:52:21 +1100,2014-11-17 23:52:21 +1100,food truck,Venue_type_0,food truck
218,ファーストフード,2014-11-17 23:53:32 +1100,2014-11-17 23:53:32 +1100,ファーストフード,Delete,
219,カフェ,2014-11-17 23:53:32 +1100,2014-11-17 23:53:32 +1100,カフェ,Delete,
220,ケータリング,2014-11-17 23:53:32 +1100,2014-11-17 23:53:32 +1100,ケータリング,Delete,
221,Cabarets,2014-11-17 23:57:04 +1100,2014-11-17 23:57:04 +1100,cabaret,Feature_1,cabaret
222,Chocolate & Chocolatiers,2014-11-17 23:59:05 +1100,2014-11-17 23:59:05 +1100,chocolateria,Venue_type_3,chocolateria
223,Ethopian,2014-11-18 00:32:14 +1100,2014-11-18 00:32:14 +1100,Ethiopian,Cuisine,Ethiopian
224,Churches,2014-11-18 00:39:40 +1100,2014-11-18 00:39:40 +1100,churches,Delete,
225,B&Bs,2014-11-18 00:39:40 +1100,2014-11-18 00:39:40 +1100,b&bs,Delete,
226,Cafeterias,2014-11-18 01:10:47 +1100,2014-11-18 01:10:47 +1100,cafe,Venue_type_1,cafe
227,Internet Cafes,2014-11-18 01:11:03 +1100,2014-11-18 01:11:03 +1100,internet cafes,Delete,
228,Boat Charters,2014-11-18 01:18:19 +1100,2014-11-18 01:18:19 +1100,on a boat,Venue_location,on a boat
229,Travel Agents,2014-11-18 01:18:19 +1100,2014-11-18 01:18:19 +1100,travel agents,Delete,
230,Arts & Crafts,2014-11-18 01:29:00 +1100,2014-11-18 01:29:00 +1100,arts & crafts,Delete,
231,Marketing,2014-11-18 02:03:24 +1100,2014-11-18 02:03:24 +1100,marketing,Delete,
232,Wholesale,2014-11-18 02:05:58 +1100,2014-11-18 02:05:58 +1100,wholesale,Delete,
233,Cinemas,2014-11-18 02:21:42 +1100,2014-11-18 02:21:42 +1100,cinema,Venue_type_3,cinema
234,イタリアン,2014-11-18 02:40:50 +1100,2014-11-18 02:40:50 +1100,イタリアン,Delete,
235,グルテンフリー,2014-11-18 02:40:50 +1100,2014-11-18 02:40:50 +1100,グルテンフリー,Delete,
236,Art Galleries,2014-11-18 03:24:22 +1100,2014-11-18 03:24:22 +1100,art gallery,Venue_type_3,art gallery
237,Herbs & Spices,2014-11-18 03:24:36 +1100,2014-11-18 03:24:36 +1100,herbs & spices,Delete,
238,Tennis,2014-11-18 03:33:13 +1100,2014-11-18 03:33:13 +1100,tennis,Delete,
239,Appliances,2014-11-18 03:42:26 +1100,2014-11-18 03:42:26 +1100,appliances,Delete,
240,Car Wash,2014-11-18 03:45:55 +1100,2014-11-18 03:45:55 +1100,car wash,Delete,
241,Fitness & Instruction,2014-11-18 03:47:52 +1100,2014-11-18 03:47:52 +1100,fitness & instruction,Delete,
