"","id1","name1","address1","id2","name2","address2"
"48728",1793,"liquidity","james craig rd",1799,"liquidity cafe","1 james craig rd"
"48751",1821,"ricciotti","shop 3, 37b alexandra st",1829,"ricciotti cafe & deli","37b alexandra st"
"48768",1835,"duos mediterranean bar","94 woolwich rd",1837,"duo pizza pasta cafe","94 woolwich rd"
"48777",1839,"mamak","9/1-5 railway st",1925,"mamak","15 goulburn sthaymarket"
"48779",1839,"mamak","9/1-5 railway st",1955,"mamak","eat st"
"49281",1852,"sushi sagunja","level 2, mandarin ctr61 albert ave",1902,"sagunja korea","mandarin ctrlevel 2, shop 225  65 albert ave"
"49333",1860,"lodge","shop 124 burns bay rd",2013,"lodge - lane cove","24 burns bay rd"
"49587",1865,"shanghai stories 1938","407-411 victoria ave",1985,"shang hai stories 1938","shop 4 & 6 the concourse, 405-419 victoria aveshop 4 & 6 the concourse"
"49968",1879,"kingston & co","4 anderson st",1960,"kingston & co","229 anderson st"
"49992",1881,"kuroki","300 victoria ave",1896,"kuroki","300 victoria ave"
"50001",1883,"chatswood bbq kitchen","377 victoria ave",1962,"chatswood bbq & hot pot","377 victoria ave"
"50007",1883,"chatswood bbq kitchen","377 victoria ave",2071,"chatswood barbeque kitchen","377 victoria ave"
"50410",1903,"spit roast","78 hampden rd",1992,"spit roast shop artarmon","78 hampden rd"
"50464",1907,"maya indian curry house","118 hampden rd",1996,"maiya indian curry house","126 hambed rd"
"50618",1916,"465 the avenue","shop 1465 victoria ave",1946,"465 the avenue","shop 1465 victoria ave"
"50828",1925,"mamak","15 goulburn sthaymarket",1955,"mamak","eat st"
"51006",1933,"delhi hut","the village plaza43-45 burns bay rd",1950,"delhi hutt","shop 143-45 burns bay rd"
"51201",1947,"zenith gourmet","9 mcintosh st",2028,"zenith gourmet","821a pacific hwy"
"51480",1963,"grilld healthy burgers","the concourse409 victoria ave",1964,"grilld healthy burgers","the concourse409 victoria ave"
"51632",1973,"yogurberry","shop 23445 victoria ave",1987,"yogurberry","shop 23445 victoria ave"
